,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,pevek,0,RU,1578502413,85,69.7,170.27,-14.75,11.07
1,faya,20,SA,1578502413,82,18.39,42.45,60.8,6.93
2,georgetown,40,GY,1578502152,74,6.8,-58.16,84.2,11.41
3,butaritari,100,KI,1578502413,82,3.07,172.79,83.1,19.62
4,castro,40,CL,1578502414,81,-42.48,-73.76,50.0,12.75
5,zelenoborsk,59,RU,1578502414,94,61.47,64.05,8.22,7.7
6,rikitea,75,PF,1578502414,80,-23.12,-134.97,76.35,22.62
7,constitucion,90,MX,1578502414,52,23.99,-104.67,46.4,3.36
8,camacha,40,PT,1578502414,63,33.08,-16.33,64.4,11.41
9,hobart,10,AU,1578502414,82,-42.88,147.33,57.99,3.36
10,seymchan,76,RU,1578502414,84,62.93,152.39,-28.59,1.19
11,kutum,0,SD,1578502414,25,14.2,24.66,67.03,9.04
12,almaznyy,40,RU,1578502414,94,48.03,40.04,32.0,15.66
13,abu samrah,92,JP,1578502414,77,34.51,131.49,48.0,1.99
14,ambanja,99,MG,1578502414,78,-13.68,48.45,81.52,1.01
15,kapaa,75,US,1578502233,64,22.08,-159.32,75.2,18.34
16,vanimo,100,PG,1578502415,80,-2.67,141.3,79.54,5.48
17,chapais,90,CA,1578502415,85,49.78,-74.86,14.0,11.41
18,puerto ayora,75,AR,1578502415,44,-51.62,-69.23,59.0,17.22
19,faanui,47,PF,1578502415,79,-16.48,-151.75,82.09,23.49
20,labuhan,100,ID,1578502415,93,-2.54,115.51,75.42,1.66
21,saskylakh,99,RU,1578502415,96,71.97,114.09,-3.57,7.74
22,flinders,53,AU,1578502415,100,-34.58,150.85,70.0,5.82
23,mount gambier,40,GB,1578502415,75,53.66,-1.85,46.99,12.75
24,luanda,75,AO,1578502415,69,-8.83,13.24,82.4,6.93
25,puerto el triunfo,75,AR,1578502415,44,-51.62,-69.23,59.0,17.22
26,hilo,90,US,1578502415,54,19.71,-155.08,82.4,11.41
27,mataura,88,NZ,1578502415,81,-46.19,168.86,50.0,13.0
28,victoria,75,BN,1578502340,88,5.28,115.24,78.8,1.12
29,hamilton,75,CA,1578502415,58,43.26,-79.87,28.99,20.8
30,upernavik,100,GL,1578502415,67,72.79,-56.15,-7.78,7.07
31,rio grande,90,US,1578502416,62,41.11,-90.4,21.0,10.29
32,busselton,22,AU,1578502416,53,-33.64,115.35,61.0,10.09
33,hasaki,20,JP,1578502416,100,35.73,140.83,43.0,4.7
34,thompson,75,CA,1578502416,73,55.74,-97.86,-29.2,3.36
35,tiksi,100,RU,1578502416,90,71.64,128.87,-11.69,6.33
36,port elizabeth,95,CD,1578502416,71,-7.03,29.76,78.53,10.29
37,yeppoon,8,AU,1578502416,73,-23.13,150.74,75.2,3.36
38,mys shmidta,100,RU,1578502416,92,62.06,48.62,23.38,12.48
39,westport,75,US,1578502416,74,41.14,-73.36,41.0,13.87
40,arman,88,RU,1578502416,73,59.7,150.17,8.82,9.6
41,salalah,1,OM,1578502416,65,17.01,54.1,77.0,3.36
42,jamestown,0,AU,1578502416,22,-33.21,138.6,76.19,14.38
43,ganzhou,0,CN,1578502416,73,25.86,114.93,46.49,4.07
44,ewa beach,73,CM,1578502416,37,5.76,9.91,73.15,2.48
45,darab,0,IR,1578502417,62,28.75,54.55,49.28,2.66
46,vaini,2,IN,1578502417,95,15.34,74.49,65.97,1.21
47,nikolskoye,90,RU,1578502417,86,59.7,30.79,39.2,11.18
48,torbay,90,CA,1578502417,100,47.66,-52.73,33.01,13.87
49,talnakh,75,RU,1578502417,84,69.49,88.39,-0.4,15.66
50,punta arenas,75,PH,1578502417,74,14.18,121.12,79.0,4.7
51,clemencia,20,CO,1578502417,56,10.57,-75.33,93.2,4.7
52,arraial do cabo,20,BR,1578502417,65,-22.84,-46.65,84.2,10.29
53,katsuura,40,JP,1578502417,61,33.93,134.5,50.0,13.87
54,bilma,69,NE,1578502417,20,18.69,12.92,64.65,9.82
55,hermanus,22,ZA,1578502417,86,-34.42,19.24,68.0,3.0
56,dikson,40,RU,1578502417,100,73.51,80.55,-16.35,1.63
57,kalaleh,0,IR,1578502417,37,37.38,55.49,55.4,4.7
58,yang talat,0,NG,1578502417,20,10.63,12.32,80.2,6.62
59,kokopo,95,PG,1578502417,79,-4.34,152.27,82.45,3.94
60,longyearbyen,75,NO,1578502418,94,78.22,15.63,32.0,29.97
61,ponta do sol,6,BR,1578502418,33,-0.53,-65.05,96.94,3.36
62,kommunisticheskiy,54,RU,1578502418,94,61.68,64.48,7.47,8.08
63,bluff,2,AU,1578502418,87,-23.58,149.07,70.9,6.76
64,kununurra,100,AU,1578502418,88,-15.77,128.74,80.6,3.36
65,souillac,99,FR,1578502418,87,45.6,-0.6,55.4,4.7
66,marienburg,75,DE,1578502418,93,52.12,9.98,51.01,5.82
67,methoni,20,GR,1578502418,45,36.82,21.7,48.0,5.82
68,cherskiy,78,RU,1578502418,73,68.75,161.3,-20.42,7.85
69,zhigansk,83,RU,1578502418,99,66.77,123.37,-10.93,2.89
70,mango,12,CF,1578502418,29,4.65,22.36,81.88,2.48
71,rocha,0,UY,1578502226,20,-34.48,-54.34,91.2,13.2
72,alice springs,93,ZA,1578502418,85,-32.79,26.83,71.69,2.98
73,new norfolk,20,LR,1578502186,59,6.65,-10.59,89.6,8.05
74,bredasdorp,66,ZA,1578502419,60,-34.53,20.04,75.2,20.8
75,oudtshoorn,40,ZA,1578502419,94,-33.59,22.2,69.8,4.7
76,moerai,18,PF,1578502419,82,-22.43,-151.33,79.11,16.35
77,cape town,90,CL,1578502419,100,-36.41,-71.9,60.8,11.41
78,shiraz,0,IR,1578502415,66,29.61,52.54,44.6,9.17
79,aksarka,0,RU,1578502419,99,66.56,67.8,-8.0,8.93
80,port hedland,95,CD,1578502181,71,-7.03,29.76,78.53,10.29
81,srednekolymsk,68,RU,1578502419,89,67.46,153.71,-27.89,5.26
82,nanortalik,100,GL,1578502419,83,60.14,-45.24,18.39,32.84
83,cabo san lucas,40,ES,1578502419,71,43.18,-5.8,60.01,2.24
84,albany,90,US,1578502360,74,42.65,-73.75,37.4,4.7
85,bubaque,7,GW,1578502419,51,11.28,-15.83,79.57,14.03
86,klaksvik,100,FO,1578502419,69,62.23,-6.59,39.2,35.57
87,navahrudak,100,BY,1578502419,95,53.59,25.82,32.54,15.61
88,ostersund,0,SE,1578502420,55,63.18,14.64,35.6,18.34
89,norman wells,1,US,1578502202,32,35.22,-97.44,55.0,16.11
90,russell,1,US,1578502420,69,38.9,-98.86,45.0,13.87
91,cidreira,20,BR,1578502420,72,-30.17,-50.22,75.06,15.46
92,avarua,82,CK,1578502420,88,-21.21,-159.78,78.8,8.05
93,camalu,2,MX,1578502420,40,30.85,-116.07,60.33,3.98
94,egvekinot,99,RU,1578502420,100,66.32,-179.17,-8.41,3.98
95,bandarbeyla,100,SO,1578502420,73,9.49,50.81,78.8,17.56
96,matagami,32,NG,1578502420,25,9.67,8.4,78.76,6.33
97,dingle,69,PH,1578502420,93,11.0,122.67,73.29,10.38
98,warwick,40,US,1578502421,80,41.7,-71.42,39.99,11.41
99,geraldton,5,CA,1578502421,63,49.72,-86.95,-11.2,4.7
100,ahipara,66,NZ,1578502421,100,-35.17,173.16,55.0,14.09
101,puerto baquerizo moreno,75,AR,1578502421,44,-51.62,-69.23,59.0,17.22
102,husavik,38,CA,1578502421,88,50.56,-96.99,-2.99,7.0
103,senneterre,75,CA,1578502421,84,48.39,-77.24,6.8,12.75
104,isangel,100,VU,1578502421,87,-19.55,169.27,76.82,14.52
105,katiola,32,CI,1578502421,20,8.14,-5.1,93.2,4.7
106,lockport,75,CA,1578502421,76,50.09,-96.94,-2.99,12.75
107,coihaique,75,CL,1578502421,71,-45.58,-72.07,51.8,6.93
108,lompoc,1,US,1578502274,66,34.64,-120.46,55.0,3.36
109,yakeshi,100,CN,1578502421,100,49.28,120.73,-9.54,3.31
110,pangai,40,TO,1578502422,82,-19.8,-174.35,79.72,14.09
111,narsaq,40,GL,1578502422,47,60.91,-46.05,12.2,18.34
112,iskateley,100,RU,1578502422,92,67.68,53.15,23.34,23.11
113,airai,100,TL,1578502422,84,-8.93,125.41,66.88,3.49
114,magway,48,MM,1578502422,64,20.15,94.92,65.71,4.09
115,chokurdakh,99,RU,1578502422,97,70.62,147.9,-11.24,7.43
116,visby,95,SE,1578502422,81,57.64,18.3,46.0,17.22
117,uvinza,92,TZ,1578502422,94,-5.1,30.39,67.68,2.68
118,narasannapeta,5,IN,1578502422,74,18.42,84.04,65.82,3.13
119,terney,47,RU,1578502422,78,45.05,136.61,13.26,7.43
120,mineiros,50,BR,1578502210,72,-17.57,-52.55,80.64,12.75
121,ushuaia,90,AR,1578502169,87,-54.81,-68.31,42.8,19.46
122,dicabisagan,91,PH,1578502422,85,17.08,122.42,74.52,8.39
123,mildura,0,AU,1578502422,33,-34.18,142.16,71.6,6.93
124,zhangye,96,CN,1578502422,54,38.94,100.46,20.82,0.67
125,qaanaaq,36,GL,1578502422,82,77.48,-69.36,-22.34,4.63
126,yellowknife,20,CA,1578502423,65,62.45,-114.38,-36.4,3.36
127,port alfred,95,CD,1578502181,71,-7.03,29.76,78.53,10.29
128,salym,58,RU,1578502423,99,60.06,71.48,-3.82,5.57
129,codrington,27,AU,1578502423,82,-28.95,153.24,72.0,2.24
130,trinidad,75,BO,1578502423,74,-14.83,-64.9,84.2,5.82
131,hami,35,CN,1578502423,56,42.84,93.51,15.73,2.1
132,anahuac,76,MX,1578502423,86,26.44,-109.02,66.0,1.99
133,tilichiki,100,RU,1578502423,85,60.47,166.1,6.44,9.28
134,dromolaxia,40,CY,1578502423,87,34.88,33.59,53.6,11.41
135,itubera,23,BR,1578502423,59,-13.73,-39.15,85.28,7.56
136,khatanga,100,RU,1578502423,95,71.98,102.47,1.0,12.28
137,mariental,75,BR,1578502423,61,-25.72,-49.65,84.99,10.29
138,tiznit,0,MA,1578502423,46,29.7,-9.73,53.62,4.99
139,itarema,73,BR,1578502423,51,-2.92,-39.92,89.06,10.58
140,tuktoyaktuk,90,CA,1578502423,76,69.44,-133.03,-9.4,12.75
141,thinadhoo,75,MV,1578502423,76,0.53,72.93,82.87,11.9
142,jiazi,75,CN,1578502423,93,19.61,110.49,66.2,2.24
143,riohacha,40,CO,1578502424,49,11.54,-72.91,91.4,17.22
144,alta floresta,75,NO,1578502424,75,69.97,23.27,35.6,10.29
145,hervey bay,1,US,1578502424,40,33.5,-93.78,54.0,10.29
146,vilyuysk,97,RU,1578502424,98,63.75,121.63,-3.64,6.15
147,richards bay,1,US,1578502424,83,46.84,-95.91,-2.2,9.17
148,provideniya,26,RU,1578502424,92,64.42,-173.23,-11.33,4.63
149,amberley,37,NZ,1578502424,87,-43.15,172.73,54.0,3.36
150,barrow,62,AR,1578502424,20,-38.31,-60.23,91.89,13.69
151,palomares,0,ES,1578502424,61,40.39,-5.74,48.99,5.82
152,nishihara,20,JP,1578502424,81,35.74,139.53,55.0,5.82
153,saint-philippe,90,CA,1578502424,86,45.36,-73.48,34.0,11.41
154,havre-saint-pierre,75,CA,1578502424,92,50.23,-63.6,12.2,11.41
155,fort nelson,19,IN,1578502424,85,17.96,79.61,71.1,12.41
156,necochea,0,AR,1578502425,15,-38.55,-58.74,90.0,11.99
157,tasiilaq,0,GL,1578502425,59,65.61,-37.64,-12.55,15.37
158,east london,61,UG,1578502425,59,3.43,31.7,78.66,2.06
159,kandrian,91,PG,1578502425,97,-6.21,149.55,73.83,0.76
160,severo-kurilsk,99,RU,1578502425,90,50.68,156.12,16.59,7.61
161,laguna,90,BZ,1578502425,94,16.17,-88.94,71.6,4.25
162,tezu,32,IN,1578502425,57,27.93,96.16,57.02,3.91
163,bereznik,100,RU,1578502425,97,62.86,42.71,33.42,12.53
164,kavieng,100,PG,1578502425,77,-2.57,150.8,83.05,8.32
165,mar del plata,29,CN,1578502425,63,29.86,90.73,9.48,2.91
166,ribeira grande,75,PT,1578502425,100,41.76,-8.55,57.0,5.82
167,ayagoz,100,KZ,1578502425,96,47.96,80.43,15.82,1.21
168,san policarpo,1,ML,1578502426,17,13.3,-4.9,80.83,4.99
169,mwinilunga,99,ZM,1578502426,90,-11.73,24.43,66.0,0.72
170,xuddur,100,SO,1578502426,33,4.12,43.89,83.5,11.77
171,poya,89,NC,1578502426,73,-21.35,165.16,76.14,7.38
172,west bay,1,US,1578502426,33,31.8,-97.09,59.0,18.34
173,sept-iles,90,CA,1578502199,78,50.2,-66.38,17.01,9.17
174,atchison,1,US,1578502426,55,39.56,-95.12,39.99,23.04
175,imbituba,75,BR,1578502426,83,-28.24,-48.67,80.6,5.82
176,naantali,90,FI,1578502426,93,60.45,22.03,44.01,13.87
177,havoysund,75,NO,1578502426,69,71.0,24.66,41.0,19.46
178,namatanai,100,PG,1578502426,76,-3.66,152.44,83.43,6.58
179,kodiak,1,US,1578502426,45,39.95,-94.76,39.0,14.99
180,padang,96,ID,1578502427,94,-0.92,100.36,68.54,5.46
181,nizhniy ingash,90,RU,1578502427,92,45.39,39.24,34.0,6.71
182,galesong,90,ID,1578502427,100,-5.32,119.37,77.0,1.12
183,muriti,75,TZ,1578502427,69,-1.99,32.93,77.0,4.76
184,tirana,0,AL,1578502184,30,41.33,19.82,44.6,6.93
185,vila velha,5,IT,1578502427,78,45.18,8.4,44.6,2.24
186,kaeo,67,NZ,1578502427,100,-35.1,173.78,55.0,7.87
187,quelimane,40,MZ,1578502427,79,-17.88,36.89,84.2,9.17
188,pauini,26,BR,1578502427,53,-7.71,-67.0,90.7,5.79
189,poum,0,MK,1578502427,24,41.28,20.71,33.8,3.36
190,kaitangata,69,NZ,1578502427,83,-46.28,169.85,52.0,11.01
191,miri,16,NG,1578502427,25,10.31,9.75,78.67,6.33
192,lazaro cardenas,75,MX,1578502427,62,29.05,-111.04,59.0,3.36
193,fairbanks,75,US,1578502427,52,64.84,-147.72,-27.99,0.72
194,kita,20,JP,1578502427,81,35.76,139.74,55.0,5.82
195,lagoa,15,PT,1578502428,67,37.14,-8.45,64.0,5.82
196,bisira,60,PA,1578502428,72,8.52,-81.71,73.81,16.6
197,whitehorse,90,CA,1578502428,76,60.72,-135.05,-7.6,6.93
198,dzidzantun,2,MX,1578502428,47,21.25,-89.05,80.04,7.85
199,copalillo,0,MX,1578502428,38,18.03,-99.04,75.99,1.01
200,bethel,1,US,1578502354,82,60.79,-161.76,-14.8,26.4
201,vao,100,EE,1578502428,84,59.1,26.19,44.04,15.68
202,luganville,99,VU,1578502428,96,-15.51,167.18,72.25,2.04
203,teya,75,MX,1578502428,57,21.05,-89.07,79.0,11.41
204,kincardine,100,CA,1578502428,77,44.18,-81.63,26.01,11.99
205,portland,90,US,1578502428,86,43.66,-70.25,34.0,4.7
206,tambun,40,ID,1578502428,83,-6.26,107.07,82.0,1.12
207,tefe,75,BR,1578502264,66,-3.35,-64.71,89.6,8.05
208,carnarvon,83,ZA,1578502428,44,-30.97,22.13,72.27,8.1
209,shingu,0,JP,1578502429,64,33.72,135.99,50.74,15.17
210,catuday,100,PH,1578502429,77,16.29,119.81,79.12,13.49
211,ruteng,99,ID,1578502429,90,-8.61,120.46,67.95,3.38
212,elko,90,US,1578502429,55,40.83,-115.76,33.8,11.41
213,alofi,10,NU,1578502178,94,-19.06,-169.92,71.6,2.24
214,atuona,71,PF,1578502429,74,-9.8,-139.03,81.84,20.83
215,chaman,0,AF,1578502429,51,30.92,66.46,34.59,1.23
216,mahebourg,40,MU,1578502429,83,-20.41,57.7,78.8,5.82
217,sabang,72,PH,1578502429,91,13.8,121.11,75.0,5.01
218,clyde river,80,NZ,1578502429,67,-45.19,169.32,52.0,5.91
219,port macquarie,95,CD,1578502181,71,-7.03,29.76,78.53,10.29
220,timberlake,1,US,1578502429,35,32.26,-81.31,59.0,6.93
221,rolla,1,US,1578502301,55,37.95,-91.77,46.0,13.87
222,manali,62,IN,1578502429,70,32.25,77.19,20.01,8.61
223,aviles,40,ES,1578502429,71,43.55,-5.92,60.01,2.24
224,denpasar,75,ID,1578502271,88,-8.65,115.22,82.4,12.75
225,port blair,95,CD,1578502181,71,-7.03,29.76,78.53,10.29
226,grand river south east,100,FR,1578502430,100,48.39,5.49,51.8,2.24
227,salvador,20,BR,1578502430,70,-12.98,-38.48,84.2,11.41
228,slavutych,67,UA,1578502430,82,51.52,30.76,26.73,8.52
229,omboue,80,GA,1578502430,87,-1.57,9.26,77.34,3.67
230,saint-pierre,90,FR,1578502430,100,48.95,4.24,53.6,10.29
231,asyut,0,EG,1578502430,54,27.18,31.19,55.4,11.41
232,tuatapere,97,NZ,1578502430,81,-46.13,167.69,50.0,13.0
233,san patricio,1,ML,1578502426,17,13.3,-4.9,80.83,4.99
234,hastings,71,NZ,1578502430,85,-39.64,176.84,54.84,3.96
235,novobirilyussy,93,RU,1578502431,96,56.95,90.69,8.94,4.18
236,paamiut,56,GL,1578502214,58,61.99,-49.67,2.08,12.62
237,sistranda,75,NO,1578502431,80,63.73,8.83,39.2,31.09
238,ilo,50,PE,1578502431,61,-17.65,-71.34,77.0,11.41
239,dong hoi,33,CM,1578502431,30,4.89,12.01,80.58,0.34
240,pisco,20,PE,1578502431,30,-13.71,-76.2,73.99,8.05
241,gifhorn,90,DE,1578502431,87,52.48,10.54,51.01,9.17
242,adrar,0,DZ,1578502431,25,27.87,-0.29,66.2,11.41
243,taman,90,RU,1578502431,88,45.22,36.72,33.8,17.9
244,namibe,61,AO,1578502431,77,-15.19,12.15,76.3,6.2
245,ibra,0,OM,1578502431,60,22.69,58.55,64.2,13.76
246,tromso,40,NO,1578502431,64,69.65,18.96,37.4,39.15
247,vallenar,0,CL,1578502431,44,-28.57,-70.76,75.69,12.35
248,bolivar,1,US,1578502378,42,37.61,-93.41,53.01,12.75
249,taoudenni,12,ML,1578502431,12,22.68,-3.98,66.51,12.15
250,antofagasta,20,CL,1578502269,73,-23.65,-70.4,71.6,14.99
251,waverly,1,US,1578502432,42,37.04,-77.1,51.8,13.87
252,hovd,75,NO,1578502432,80,63.83,10.7,41.0,16.11
253,baghdad,20,IQ,1578502432,46,33.3,44.38,53.6,9.17
254,aykhal,23,RU,1578502432,84,65.95,111.51,-0.4,4.47
255,arlit,82,NE,1578502432,15,18.74,7.39,74.16,6.93
256,beira,75,ES,1578502432,87,43.2,-8.36,61.0,5.82
257,victor harbor,90,US,1578502432,92,43.6,-111.11,30.2,4.7
258,samarai,99,PG,1578502432,91,-10.62,150.67,77.54,3.09
259,horodnytsya,73,UA,1578502432,93,50.81,27.32,30.25,7.34
260,san andres,1,ML,1578502401,17,13.3,-4.9,80.83,4.99
261,nanchong,73,CN,1578502264,83,30.8,106.08,46.13,4.43
262,vrangel,100,RU,1578502432,60,42.73,133.08,29.12,18.01
263,urucara,65,BR,1578502432,69,-2.54,-57.76,83.32,4.5
264,kolyvan,90,RU,1578502432,85,55.31,82.74,14.0,6.71
265,leningradskiy,0,RU,1578502432,75,69.38,178.42,-12.64,2.33
