,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
266,vila franca do campo,5,IT,1578502433,78,45.18,8.4,44.6,2.24
267,hithadhoo,20,MV,1578502433,76,-0.6,73.08,82.92,12.62
268,tarko-sale,21,RU,1578502433,83,64.92,77.78,-8.0,8.19
269,kollam,20,IN,1578502433,78,8.88,76.6,82.4,4.7
270,beni suef,98,CD,1578502433,93,0.49,29.47,67.28,1.54
271,totma,100,RU,1578502433,96,59.98,42.76,32.32,14.12
272,maungaturoto,67,NZ,1578502433,83,-36.11,174.36,55.99,8.23
273,kabare,40,RW,1578502433,68,-1.65,29.38,71.6,6.93
274,grindavik,75,IS,1578502433,64,63.84,-22.43,33.8,24.16
275,bambous virieux,40,MU,1578502433,83,-20.26,57.41,78.8,5.82
276,sao joao da barra,3,IN,1578502145,53,20.51,76.21,66.29,7.87
277,kahului,90,US,1578502433,83,20.89,-156.47,71.6,13.87
278,plouzane,90,FR,1578502433,100,48.38,-4.62,55.4,12.75
279,york,1,US,1578502433,64,39.96,-76.73,41.0,13.87
280,hokitika,85,NZ,1578502434,79,-42.72,170.96,57.18,2.95
281,darlowo,100,PL,1578502434,92,54.42,16.41,44.83,21.05
282,mezhdurechensk,98,RU,1578502434,94,53.69,88.07,12.36,0.78
283,zhanaozen,87,KZ,1578502434,56,43.35,52.85,31.14,14.34
284,tsaratanana,99,MG,1578502434,90,-16.8,47.65,72.34,4.72
285,boden,83,SE,1578502434,69,65.83,21.69,37.4,13.87
286,ossora,100,RU,1578502434,94,59.24,163.07,17.01,25.3
287,kupang,98,ID,1578502434,74,-10.16,123.6,82.62,5.19
288,zharkent,99,KZ,1578502434,93,44.17,80.0,17.49,5.75
289,khani,75,GE,1578502434,93,41.96,42.96,48.2,4.7
290,vernon,90,CA,1578502434,55,50.27,-119.27,37.4,13.87
291,batticaloa,3,LK,1578502434,93,7.71,81.69,70.23,4.05
292,beloha,36,MG,1578502435,71,-25.17,45.06,76.89,15.88
293,pangnirtung,90,CA,1578502435,67,66.15,-65.72,-22.0,0.67
294,cukai,92,MY,1578502435,83,4.25,103.42,80.6,6.93
295,yumen,100,CN,1578502435,68,40.29,97.04,15.64,0.85
296,pierre,1,US,1578502278,72,44.37,-100.35,15.8,21.92
297,dunedin,78,NZ,1578502435,83,-45.87,170.5,52.63,16.96
298,visnes,40,NO,1578502435,70,59.36,5.22,45.0,29.97
299,calbuco,75,CL,1578502435,76,-41.77,-73.13,55.4,12.75
300,peachland,90,CA,1578502435,55,49.77,-119.75,42.8,13.87
301,mount isa,40,GB,1578502435,75,53.66,-1.85,46.99,12.75
302,saint-augustin,90,CA,1578502435,86,45.63,-73.98,32.0,11.41
303,touros,75,BR,1578502435,62,-5.2,-35.46,86.0,11.41
304,bograd,40,RU,1578502435,92,54.22,90.86,10.4,2.24
305,rafraf,75,TN,1578502435,93,37.19,10.18,53.6,3.36
306,tessalit,42,ML,1578502435,23,20.2,1.01,71.44,8.1
307,rayong,84,TH,1578502435,83,12.68,101.28,84.99,2.24
308,morros,75,BR,1578502436,74,-2.87,-44.04,86.0,11.41
309,chabahar,0,IR,1578502436,45,25.29,60.65,66.2,5.37
310,kadom,97,RU,1578502436,93,54.57,42.47,24.3,10.87
311,christchurch,35,NZ,1578502296,87,-43.53,172.64,54.0,3.36
312,shiyan,100,CN,1578502436,99,32.65,110.78,33.31,3.44
313,fortuna,75,US,1578502436,100,40.6,-124.16,46.99,8.05
314,xichang,0,CN,1578502436,92,27.88,102.25,31.98,6.08
315,rach gia,24,AT,1578502436,50,47.17,14.59,34.0,3.36
316,honiara,75,SB,1578502436,94,-9.43,159.96,77.0,5.82
317,baculin,91,PH,1578502436,94,7.45,126.58,71.74,1.83
318,canala,90,NC,1578502436,78,-21.52,165.96,71.6,2.24
319,asekeyevo,24,RU,1578502436,97,53.57,52.8,10.22,2.82
320,lavrentiya,0,RU,1578502437,89,65.58,-170.99,-9.81,0.54
321,waingapu,100,ID,1578502437,74,-9.65,120.26,83.23,12.57
322,qasigiannguit,90,GL,1578502437,58,68.82,-51.19,-5.8,17.22
323,mahibadhoo,100,MV,1578502437,80,3.78,72.97,81.9,16.8
324,bukama,71,CD,1578502437,86,-9.2,25.85,74.52,1.57
325,talaya,20,RU,1578502437,85,55.79,84.89,14.0,2.24
326,kalmunai,21,LK,1578502437,78,7.42,81.82,80.01,15.23
327,comodoro rivadavia,100,BR,1578502326,88,-13.66,-59.79,78.37,6.55
328,tamandare,18,BR,1578502437,35,-8.28,-70.75,94.77,5.86
329,lebu,23,ET,1578502437,47,8.96,38.73,56.14,4.23
330,artsvaberd,65,AM,1578502437,54,40.84,45.47,36.72,1.57
331,grenfell,1,AU,1578502437,69,-33.9,148.16,69.46,11.7
332,belaya gora,0,RU,1578502437,93,51.06,35.71,22.93,6.53
333,balabac,70,PH,1578502437,79,7.99,117.06,79.97,13.89
334,mareeba,75,AU,1578502438,78,-16.99,145.42,78.8,9.17
335,alyangula,40,AU,1578502438,94,-13.85,136.42,80.6,5.82
336,lebyazhye,90,RU,1578502438,86,59.96,29.42,39.2,11.18
337,sao filipe,3,IN,1578502438,53,20.51,76.21,66.29,7.87
338,aksu,90,KZ,1578502438,84,52.04,76.93,3.2,3.24
339,baindur,25,IN,1578502438,82,13.87,74.63,78.35,8.19
340,iracoubo,21,GF,1578502438,81,5.48,-53.21,80.4,15.26
341,bonanza,49,NI,1578502438,55,14.03,-84.62,82.35,8.03
342,esperance,75,AU,1578502438,88,-33.86,121.89,64.4,8.05
343,wagar,0,US,1578502438,42,31.44,-87.99,57.0,1.01
344,aswan,10,EG,1578502438,26,24.09,32.9,59.0,8.05
345,surt,44,LY,1578502438,78,31.21,16.59,52.75,3.53
346,kirakira,100,SB,1578502438,88,-10.46,161.92,78.91,12.12
347,broome,20,GB,1578502439,66,52.47,1.45,50.0,3.36
348,salamiyah,100,SY,1578502439,81,35.01,37.05,47.34,6.73
349,pochutla,5,MX,1578502439,69,15.74,-96.47,80.6,11.41
350,iqaluit,75,CA,1578502439,69,63.75,-68.52,-11.0,1.54
351,port-cartier,90,CA,1578502439,78,50.03,-66.88,17.01,9.17
352,hambantota,75,LK,1578502439,70,6.12,81.12,79.41,17.87
353,aquiraz,75,BR,1578502264,78,-3.9,-38.39,80.01,4.7
354,conde,5,BR,1578502439,65,-11.81,-37.61,80.13,10.02
355,lata,100,IN,1578502439,98,30.78,78.62,10.53,6.29
356,shurugwi,100,ZW,1578502439,79,-19.67,30.0,70.34,2.17
357,luderitz,0,NA,1578502439,57,-26.65,15.16,75.2,9.17
358,mineros,90,BO,1578502439,83,-17.12,-63.23,77.0,11.41
359,wloszczowa,74,PL,1578502440,1,50.85,19.97,39.99,9.8
360,griffith,0,AU,1578502440,38,-34.29,146.06,75.2,9.17
361,banda aceh,59,IN,1578502440,89,28.24,80.11,55.62,4.85
362,kerrville,75,US,1578502189,47,30.05,-99.14,57.2,14.99
363,nagayo,90,JP,1578502440,70,32.82,129.89,50.0,12.75
364,orange cove,75,US,1578502377,62,33.79,-117.85,57.99,3.36
365,aasiaat,100,GL,1578502440,84,68.71,-52.87,-12.33,15.1
366,san quintin,1,ML,1578502290,17,13.3,-4.9,80.83,4.99
367,svetlogorsk,90,RU,1578502440,79,53.14,59.15,23.0,6.71
368,inhambane,40,MZ,1578502440,70,-23.87,35.38,86.0,13.87
369,popondetta,100,PG,1578502440,91,-8.77,148.24,67.01,2.44
370,soyo,75,AO,1578502440,94,-6.13,12.37,77.0,8.59
371,bagaces,40,CR,1578502441,48,10.53,-85.25,87.8,17.22
372,ninotsminda,75,GE,1578502441,79,41.27,43.59,24.8,2.24
373,carnduff,100,CA,1578502441,86,49.17,-101.8,1.0,19.62
374,xinmin,75,CN,1578502441,85,42.0,122.83,15.8,2.24
375,takoradi,1,GH,1578502441,73,4.89,-1.75,80.73,9.46
376,coquimbo,40,CL,1578502441,60,-29.95,-71.34,69.8,10.29
377,chuy,0,UY,1578502441,38,-33.69,-53.46,83.95,7.07
378,canton,90,US,1578502441,53,40.8,-81.38,30.2,20.8
379,vostok,14,RU,1578502441,98,46.45,135.83,0.03,2.1
380,tura,75,RU,1578502442,93,64.27,100.22,-1.97,6.42
381,waounde,52,SN,1578502442,16,15.26,-12.87,87.8,4.7
382,pedernales,29,EC,1578502442,74,0.07,-80.05,81.21,6.42
383,tautira,75,PF,1578502442,83,-17.73,-149.15,78.8,2.24
384,mercaderes,20,CO,1578502442,60,1.8,-77.16,68.0,6.93
385,joshimath,100,IN,1578502442,98,30.57,79.57,24.15,2.35
386,jega,76,NG,1578502442,21,12.22,4.38,83.48,9.1
387,kavaratti,5,IN,1578502442,80,10.57,72.64,81.48,14.25
388,mitchell,1,US,1578502409,72,43.71,-98.03,12.99,20.8
389,olkhovatka,86,RU,1578502442,85,50.28,39.3,19.81,2.21
390,kamenka,59,MD,1578502442,81,48.03,28.7,25.0,2.91
391,nemuro,100,JP,1578502442,81,43.32,145.57,29.19,17.72
392,half moon bay,20,LR,1578502442,59,6.38,-10.7,89.6,8.05
393,lodwar,68,KE,1578502443,36,3.12,35.6,88.74,19.77
394,camocim,68,BR,1578502443,65,-2.9,-40.84,86.11,8.39
395,sarangani,66,PH,1578502443,81,5.4,125.46,81.21,20.74
396,tupik,23,RU,1578502443,93,54.43,119.94,-10.1,1.81
397,floro,40,NO,1578502443,75,61.6,5.03,42.8,33.33
398,bela,0,PK,1578502443,23,26.23,66.31,58.98,3.47
399,sur,16,OM,1578502368,59,22.57,59.53,65.91,3.6
400,kyshtovka,83,RU,1578502443,94,56.56,76.62,-1.21,5.3
401,sungairaya,100,ID,1578502443,96,0.7,108.9,75.09,3.51
402,guarda,2,PT,1578502443,79,40.54,-7.27,54.0,0.78
403,ketchikan,90,US,1578502443,100,55.34,-131.65,28.4,6.93
404,gobabis,41,NA,1578502443,34,-22.45,18.97,81.27,2.42
405,ouadda,4,CF,1578502443,25,8.07,22.4,77.45,5.88
406,tandalti,55,SD,1578502444,13,13.01,31.87,75.36,17.2
407,belozerskoye,89,RU,1578502444,96,55.82,65.58,8.29,5.7
408,angoche,100,MZ,1578502444,89,-16.23,39.91,76.5,5.95
409,ilulissat,90,GL,1578502444,58,69.22,-51.1,-5.8,17.22
410,petropavl,96,KZ,1578502444,96,54.87,69.13,10.47,4.94
411,kishapu,55,TZ,1578502444,75,-3.61,33.87,71.02,4.94
412,phan thiet,57,TH,1578502444,100,19.55,99.74,68.0,2.28
413,tazovskiy,85,RU,1578502444,98,67.47,78.7,-7.91,7.45
414,kieta,100,PG,1578502444,74,-6.22,155.63,82.38,3.06
415,soure,75,PT,1578502444,87,40.06,-8.63,57.0,5.82
416,hofn,20,IS,1578502444,42,64.25,-15.21,30.2,25.28
417,moose factory,90,US,1578502444,92,43.66,-110.72,30.2,6.93
418,ternate,75,PH,1578502445,74,14.29,120.72,79.0,4.7
419,moussoro,34,TD,1578502445,17,13.64,16.49,77.47,14.27
420,mukhtolovo,97,RU,1578502445,91,55.47,43.2,26.64,9.19
421,inta,94,RU,1578502445,90,66.04,60.13,15.04,9.01
422,cabinda,75,AO,1578502445,94,-5.56,12.19,77.0,8.61
423,edd,27,ER,1578502445,52,13.93,41.69,82.65,9.93
424,auray,90,FR,1578502445,100,47.67,-2.99,55.0,8.05
425,saint-francois,90,FR,1578502445,87,46.42,3.91,51.8,4.7
426,tanda,0,IN,1578502445,71,31.67,75.63,45.63,5.19
427,okha,91,RU,1578502445,94,53.59,142.95,6.35,14.09
428,oranjemund,20,ZA,1578502445,72,-28.55,16.43,65.41,7.27
429,fushun,75,CN,1578502445,85,41.89,123.95,15.8,2.24
430,yaan,40,NG,1578502445,19,7.38,8.57,87.57,3.42
431,qaqortoq,40,GL,1578502445,47,60.72,-46.03,12.2,18.34
432,nadym,17,RU,1578502446,100,65.53,72.51,-5.19,8.61
433,biltine,0,TD,1578502446,24,14.53,20.93,76.68,11.18
434,aden,3,YE,1578502446,73,12.79,45.03,77.9,8.16
435,houma,98,CN,1578502446,85,35.63,111.36,31.5,4.38
436,nouadhibou,40,MR,1578502446,28,20.93,-17.03,71.6,19.46
437,jumla,100,NP,1578502446,97,29.28,82.18,25.86,4.76
438,sapozhok,97,RU,1578502446,94,53.94,40.68,28.06,11.5
439,tianpeng,100,CN,1578502446,92,28.88,112.34,40.93,10.0
440,bonga,13,ET,1578502446,76,7.26,36.25,62.02,1.34
441,yulara,93,AU,1578502446,35,-25.24,130.99,86.0,5.82
442,eldorado,97,BR,1578502447,87,-24.52,-48.11,83.17,4.72
443,lake park,0,CN,1578502447,92,28.33,102.35,31.78,3.74
444,madoc,90,CA,1578502447,73,43.71,-79.75,28.0,23.04
445,nantucket,75,US,1578502447,93,41.28,-70.1,39.2,8.05
446,cordoba,18,AR,1578502157,21,-27.78,-67.24,94.48,9.06
447,bilibino,5,RU,1578502447,87,68.06,166.44,-25.69,2.84
448,intipuca,0,SV,1578502447,40,13.2,-88.05,89.6,4.7
449,sabha,2,LY,1578502447,42,27.03,14.43,48.56,7.25
450,baruun-urt,4,MN,1578502447,95,46.68,113.28,-0.92,9.42
451,verkhnyaya toyma,100,RU,1578502447,94,60.98,40.21,30.92,15.3
452,sorong,97,ID,1578502447,97,-0.86,131.25,72.45,1.63
453,takab,96,IR,1578502447,92,36.4,47.11,23.95,5.5
454,valdepenas,4,ES,1578502448,58,38.76,-3.38,55.4,3.36
455,xining,38,CN,1578502448,89,36.62,101.77,16.21,1.59
456,piriyapatna,20,IN,1578502448,61,12.34,76.1,77.0,2.24
457,campo largo,0,IT,1578502448,66,43.71,10.48,51.8,3.36
458,tangshan,0,CN,1578502448,41,39.63,118.17,25.09,4.41
459,yala,86,TH,1578502448,96,6.54,101.28,74.53,3.29
460,kruisfontein,88,ZA,1578502448,80,-34.0,24.73,71.47,6.71
461,mogadishu,9,SO,1578502346,80,2.04,45.34,80.83,24.11
462,sturgeon bay,1,US,1578502448,41,39.23,-92.28,37.0,11.41
463,kuntaur,32,GM,1578502448,9,13.67,-14.89,88.9,6.73
464,olga,75,US,1578502448,67,34.11,-118.17,57.99,2.04
465,sol-iletsk,93,RU,1578502448,95,51.16,55.0,18.61,3.47
466,buluang,90,PH,1578502448,88,10.47,123.98,77.0,4.7
467,matara,75,BI,1578502449,78,-3.48,29.48,78.8,2.24
468,mbandaka,11,CD,1578502449,41,0.05,18.26,80.73,1.81
469,maldonado,0,UY,1578502333,29,-34.91,-54.96,91.4,4.7
470,angamali,28,IN,1578502449,78,10.2,76.4,80.6,2.24
471,vardo,40,US,1578502449,44,39.62,-77.74,41.0,27.51
472,carazinho,40,BR,1578502449,45,-28.3,-52.79,86.0,9.17
473,shaoyang,100,CN,1578502449,87,27.23,111.45,43.18,8.28
474,pathardi,6,IN,1578502449,63,19.17,75.17,67.21,9.75
475,udachnyy,15,RU,1578502449,84,66.42,112.4,-0.4,4.47
476,ciro marina,0,IT,1578502449,61,39.38,17.06,50.0,12.75
477,smirnykh,0,RU,1578502449,82,49.74,142.83,5.36,5.84
478,tommot,100,RU,1578502449,94,58.97,126.27,15.26,8.59
479,lakhi,0,PK,1578502449,81,27.85,68.7,51.8,2.95
480,elverum,0,NO,1578502449,68,60.88,11.56,37.99,1.01
481,vestmannaeyjar,40,IS,1578502450,80,63.44,-20.27,33.8,23.04
482,meulaboh,43,ID,1578502450,73,4.14,96.13,82.74,2.44
483,aklavik,90,CA,1578502450,73,68.22,-135.01,-25.6,2.24
484,atel,90,RO,1578502450,92,46.15,24.47,18.0,5.82
485,zvishavane,95,ZW,1578502450,77,-20.32,30.05,74.66,2.3
486,nyurba,78,RU,1578502450,97,63.29,118.35,-9.56,4.14
487,horodyshche,66,UA,1578502450,54,50.76,29.29,30.2,8.95
488,kidal,3,ML,1578502450,20,18.44,1.41,72.64,8.77
489,kunming,20,CN,1578502450,87,25.04,102.71,57.99,11.18
490,mazagao,75,BR,1578502450,100,-0.12,-51.29,82.4,16.11
491,novikovo,52,RU,1578502450,81,51.15,37.89,21.61,3.58
492,bad doberan,91,YE,1578502450,82,14.54,44.22,65.1,3.13
493,salinas,90,US,1578502451,93,36.67,-121.66,51.01,6.13
494,tecoanapa,5,MX,1578502451,54,16.99,-99.26,84.2,8.05
495,terra rica,0,IT,1578502451,61,41.37,13.75,51.01,6.93
496,kirovsk,100,RU,1578502451,100,67.62,33.66,34.36,10.94
497,north battleford,83,NG,1578502451,67,4.97,7.66,81.73,10.22
498,saldanha,4,PT,1578502451,70,41.42,-6.55,43.86,1.57
499,sao miguel do araguaia,3,IN,1578502438,53,20.51,76.21,66.29,7.87
500,pilar,0,AR,1578502451,35,-34.46,-58.91,90.0,4.7
501,pokoynoye,100,RU,1578502451,92,44.81,44.25,35.13,12.59
502,derzhavinsk,92,KZ,1578502451,95,51.1,66.31,2.25,8.66
503,hamina,90,FI,1578502451,93,60.57,27.2,42.8,17.22
504,iquitos,84,PE,1578502451,100,-3.75,-73.25,42.8,10.29
505,armidale,46,AU,1578502451,79,-30.51,151.67,63.84,7.14
506,krutinka,91,RU,1578502451,95,56.01,71.51,4.89,7.16
507,carutapera,39,BR,1578502451,82,-1.2,-46.02,80.69,18.92
508,newport,20,GB,1578502367,87,51.59,-3.0,51.01,1.12
509,omaruru,0,NA,1578502452,34,-21.42,15.95,74.34,19.01
510,gandu,51,CN,1578502452,86,35.89,102.33,13.73,1.9
511,balsas,73,BR,1578502452,64,-7.53,-46.04,86.07,3.65
512,ishigaki,98,JP,1578502452,73,24.34,124.16,64.18,17.07
513,zhigalovo,100,RU,1578502452,97,54.81,105.15,3.61,2.21
514,bagdarin,100,RU,1578502452,89,54.44,113.59,0.16,2.55
515,awbari,31,LY,1578502452,43,26.59,12.77,46.87,6.35
516,antalaha,100,MG,1578502452,78,-14.9,50.28,82.94,16.08
517,sola,58,TZ,1578502452,80,-3.17,33.8,68.45,4.25
518,socorro,1,US,1578502452,32,31.65,-106.3,48.0,4.07
519,mamlyutka,96,KZ,1578502452,96,54.94,68.54,10.38,5.17
520,puerto colombia,75,AR,1578502421,44,-51.62,-69.23,59.0,17.22
521,pacific grove,90,US,1578502453,86,47.26,-122.25,43.0,8.05
522,zheleznodorozhnyy,90,RU,1578502453,74,55.75,38.0,35.01,11.18
523,puerto del rosario,75,AR,1578502415,44,-51.62,-69.23,59.0,17.22
524,narok,56,KE,1578502453,87,-1.09,35.87,57.13,3.47
525,veracruz,15,EC,1578502453,66,-3.97,-79.57,73.44,8.81
526,ostrovnoy,100,RU,1578502453,96,68.05,39.51,35.56,24.32
527,vuktyl,100,RU,1578502453,91,63.86,57.31,15.31,15.32
528,san matias,1,ML,1578502401,17,13.3,-4.9,80.83,4.99
529,mizdah,98,LY,1578502453,63,31.45,12.98,50.63,1.32
530,manicore,99,BR,1578502453,82,-5.81,-61.3,79.29,3.18
531,port lincoln,95,CD,1578502416,71,-7.03,29.76,78.53,10.29
532,paita,36,PE,1578502453,100,-5.09,-81.11,62.6,14.99
533,muros,90,ES,1578502453,100,42.77,-9.06,59.0,4.7
